product_id,supplier_id,product_cost,quantity
P20641623,SUP198955567,187.8,80
P28889142,SUP820077324,30.91,94
P95573042,SUP258163777,92.02,73
P21857128,SUP182315671,196.43,55
P28102025,SUP292038086,56.84,84
P11732301,SUP178275560,52.02,11
P89611215,SUP158785898,17.72,86
P50372459,SUP335813809,292.85,68
P19197874,SUP227734170,232.79,34
P47241676,SUP679090552,253.38,32
P32219071,SUP221499522,65.15,29
P63203803,SUP248372052,149.53,77
P63431602,SUP679090552,191.03,44
P17981239,SUP330356313,235.94,83
P22152660,SUP241830593,166.97,61
P34927127,SUP207257196,98.03,10
P69694346,SUP229604884,137.62,93
P47789629,SUP201639405,41.13,92
P91465745,SUP290964838,123.66,48
P90925914,SUP134982297,115.68,48
P37161903,SUP166618280,101.59,72
P14953289,SUP938696893,221.96,46
P98733463,SUP154356472,30.61,51
P56993765,SUP290964838,40.2,68
P36381999,SUP668506718,34.09,57
P41899275,SUP151805265,9.52,40
P22747490,SUP840587209,135.44,95
P60205815,SUP359315989,56.43,68
P64884205,SUP261309764,7.29,62
P18539192,SUP284008125,99.3,94
P53649623,SUP154356472,137.01,56
P45936394,SUP114427716,497.39,23
P14744963,SUP132825464,114.35,98
P45634441,SUP463149069,45.8,42
P44114070,SUP303365953,80.71,46
P52756652,SUP286527883,602.09,21
P93988828,SUP241058304,193.53,93
P51373352,SUP840587209,10.33,80
P19201199,SUP132254606,488.42,31
P77906440,SUP945668282,82.6,32
P20674547,SUP820077324,75.75,96
P28889142,SUP251725474,28.09,96
P70557429,SUP284017038,211.15,29
P23115354,SUP155467998,7.89,19
P76459907,SUP443090128,131,76
P14953289,SUP293268870,237.75,18
P19197874,SUP133404992,212.61,36
P89573496,SUP198135621,223.75,84
P41914107,SUP275620523,296.92,26
P88765331,SUP711474158,117.84,77
P86575409,SUP311982157,46.6,72
P61926913,SUP273189001,70.87,42
P61447074,SUP151690213,232,52
P10458194,SUP273951622,46.18,32
P89896259,SUP689350546,409.32,90
P44213668,SUP293926685,9.62,49
P29413835,SUP938696893,183.26,26
P78367641,SUP668506718,142.28,77
P41945186,SUP292038086,89.77,96
P23969997,SUP232115291,42.88,60
P97429604,SUP273189001,209.79,32
P96258197,SUP290451107,140.5,25
P43542510,SUP136665271,121.41,21
P14671093,SUP424904370,673.27,63
P34927127,SUP195184466,93.98,12
P40447819,SUP179344382,11.6,16
P64927743,SUP131299122,20.4,12
P23954632,SUP264619357,66.55,62
P69461901,SUP100395220,108.12,29
P42515509,SUP121271196,242.37,28
P44807534,SUP938696893,235.13,70
P38535158,SUP154356472,48.59,13
P26826691,SUP261309764,57.24,35
P15957424,SUP316833253,19.24,17
P33342028,SUP337535546,380.58,58
P89896259,SUP714146417,411.69,67
P15402604,SUP297518437,48.22,24
P81554792,SUP272155500,273.41,98
P61447074,SUP284017038,189.15,82
P41388769,SUP130095879,179.59,22
P91362711,SUP261309764,49.28,70
P75463073,SUP398474325,112.74,40
P64884205,SUP224698208,8.69,52
P98273360,SUP243659080,257.37,14
P46102483,SUP926577248,313.21,33
P50847950,SUP246839810,112.06,95
P89573496,SUP185486546,208.03,45
P14994695,SUP398474325,256.96,68
P44116414,SUP195739214,68.51,47
P64131670,SUP218950278,17.82,78
P46386620,SUP178309329,223.23,100
P59852909,SUP159407557,221.28,70
P77906440,SUP305385506,87.72,28
P45199205,SUP160985008,225.46,21
P95393997,SUP203374023,197.91,42
P98612339,SUP178309329,30.51,83
P12561701,SUP146303725,202.39,40
P40291035,SUP201639405,53.21,45
P74774577,SUP325358843,36.48,83
P15658644,SUP284017038,211.07,24
