product_id,supplier_id,product_cost,quantity
P47789629,SUP840587209,33.83,59
P20674547,SUP228032136,70.79,90
P53649623,SUP330356313,121.42,67
P89142641,SUP926577248,827.9,70
P92881101,SUP135411427,298.7,42
P62685206,SUP112426010,54.3,70
P36933022,SUP945668282,40.37,32
P41899275,SUP305385506,10.32,79
P78217241,SUP945668282,76.32,90
P88568858,SUP227734170,157.72,37
P41388769,SUP142663161,170.56,13
P56907959,SUP246730485,542.09,19
P89117870,SUP292038086,174.86,38
P20154366,SUP163462750,25,56
P66752896,SUP142663161,49.55,96
P41388769,SUP224448032,186.85,11
P11281448,SUP259593110,102.26,16
P75304280,SUP334920424,36.88,91
P61429599,SUP938696893,213.27,50
P74742032,SUP248372052,109.89,10
P92881101,SUP256273530,267.04,20
P94622945,SUP249760074,127.17,81
P56508579,SUP156300936,113.44,23
P88568858,SUP248372052,155.5,17
P28501207,SUP241058304,43.61,17
P10458194,SUP338902121,38.72,80
P38341000,SUP186921538,94.63,72
P34432938,SUP136665271,18.87,72
P18539192,SUP132254606,90.56,59
P69694346,SUP151690213,143.32,17
P91465745,SUP125198230,122.32,82
P15397235,SUP198078780,196.39,47
P67275057,SUP334920424,74.06,70
P55206620,SUP265977472,8.81,57
P53649623,SUP178309329,140.35,68
P12648930,SUP283070800,51.04,46
P79973603,SUP337535546,532.17,65
P17137437,SUP173547559,90.41,61
P16214409,SUP203374023,42.23,82
P34927127,SUP272769681,104.58,12
P34169033,SUP182315671,29,43
P74135058,SUP711474158,199.16,10
P67275057,SUP157544725,74.27,49
P84997176,SUP226432649,112.33,67
P98612339,SUP262728222,31,12
P55495888,SUP229604884,226.73,15
P51373352,SUP170232323,10.67,88
P16916593,SUP132254606,162.82,90
P90375591,SUP157544725,101.35,29
P81392925,SUP289814149,297.1,28
P81375409,SUP132315598,21.29,27
P14375300,SUP274260887,106.54,25
P15499527,SUP334406849,183.99,20
P56426674,SUP258163777,72.57,78
P40373788,SUP200579943,134.7,85
P52204796,SUP325358843,237.6,76
P83389401,SUP313562672,559.37,47
P37952537,SUP985993581,259.68,45
P20734556,SUP248372052,145.65,37
P16916593,SUP185486546,203.48,64
P73777011,SUP112214886,654.34,70
P32855564,SUP178275560,200.09,30
P31449565,SUP609867193,9.24,19
P50372459,SUP188795951,248.37,29
P47948162,SUP102667751,19.89,50
P32855564,SUP283355172,236.44,56
P59867097,SUP322365865,209.53,39
P18919292,SUP840587209,96.91,59
P80167548,SUP258163777,102.61,84
P66752896,SUP131406229,59.09,37
P92146041,SUP224698208,133.29,91
P37952537,SUP325358843,311.34,75
P31833418,SUP198955567,655.04,30
P11759622,SUP185486546,736.19,67
P97627448,SUP265977472,107.02,64
P62778148,SUP689350546,370.31,28
P39805594,SUP273189001,65.57,24
P89694349,SUP207257196,141.3,97
P92881101,SUP191089540,263.66,51
P76951423,SUP112214886,485.88,62
P32928687,SUP335813809,175.41,93
P21268228,SUP151805265,67.01,78
P78217241,SUP303365953,83.08,27
P75528934,SUP284017038,204.59,100
P21857128,SUP113427036,197.27,50
P37294983,SUP261123843,17.25,84
P10593981,SUP170774484,111.23,74
P63223251,SUP278639247,230.19,16
P92881101,SUP132825464,295.35,55
P33926222,SUP260762356,24.65,44
P77561744,SUP198078780,117.67,22
P48296294,SUP183296109,430.41,89
P30551375,SUP270987025,594.97,37
P49751701,SUP146303725,183.13,17
P33719577,SUP222889906,86.92,60
P13268949,SUP132825464,94.07,77
P92246999,SUP191089540,25.8,52
P97627448,SUP261309764,106.54,65
P55724094,SUP134982297,223.25,20
P90375591,SUP136665271,82.9,19
