supplier_id,supplier_name,supplier_street,supplier_city,supplier_country,supplier_postcode,supplier_contact,supplier_email,category_id
SUP170232323,Stone Inc,462 Arnold Camp,Katelynberg,Gambia,5021,431-513-4651,hansenanthony@example.net,CAT0254545300
SUP187257058,Wilson Inc,870 Marcia Run,Douglasfort,Denmark,32821,146-880-7578,odiaz@example.com,CAT7530357816
SUP256273530,"Santiago, Nguyen and Smith",1831 Miller Knolls Suite 133,Lopezberg,New Zealand,32410,688-323-2395,scole@example.net,CAT5703098011
SUP160985008,Miller PLC,9157 Drake Plains,East Barbara,Tonga,93180,723-332-0306,singletoncheryl@example.org,CAT7621512073
SUP155467998,Brady Inc,41212 Patel Flats,North Brendaland,Chad,98359,833-128-6842,amanda56@example.com,CAT0254545300
SUP136665271,Patrick PLC,38753 Dean Ville Suite 635,Port Timothy,Trinidad and Tobago,59046,610-702-0943,stevenmann@example.org,CAT0254545300
SUP488169079,Gomez-Pierce,86755 Erin Viaduct,Thompsonland,Taiwan,84567,746-355-2424,ihenry@example.com,CAT5703098011
SUP330356313,Gallagher-Nelson,7079 Lance Track Apt. 075,Castillostad,Romania,6841,671-697-6912,marksantos@example.org,CAT5703098011
SUP359315989,Weaver and Sons,252 Vasquez Key,New Stephanieport,Bangladesh,23293,646-637-4353,kacosta@example.com,CAT7621512073
SUP293268870,Curry Inc,64060 Chase Glen,Ginaburgh,Sudan,35876,939-231-3883,washingtonshelby@example.net,CAT7530357816
SUP191864249,Mills-Lewis,17618 Kent Course Suite 951,Pacemouth,Burkina Faso,54661,129-306-3836,xward@example.org,CAT7621512073
SUP159432385,Cruz-Williams,79181 William Avenue Suite 589,Tuckermouth,New Zealand,65167,844-932-4597,nmunoz@example.com,CAT5703098011
SUP198078780,"Sanders, Mitchell and Ball",687 Gordon Alley Suite 647,North Tammyland,Moldova,51088,813-603-8752,mooredavid@example.net,CAT7621512073
SUP226905544,Smith-Norris,070 Marie Union Suite 326,Shirleybury,Bulgaria,62213,762-948-5800,jodi61@example.net,CAT5703098011
SUP303365953,"Obrien, Wright and Thomas",73309 Shelly Bypass Apt. 669,Jasonview,Israel,76611,498-864-8440,clarkalicia@example.org,CAT0254545300
SUP711474158,"Smith, Ayala and Hernandez",211 Hughes Junctions,New Frank,Zambia,7219,534-806-9316,bowmanjames@example.net,CAT7621512073
SUP183296109,Thompson-Allen,56137 Jacob Club Apt. 011,Port Gerald,Somalia,36997,206-636-2403,abigail81@example.net,CAT5960069590
SUP120465025,"Mclaughlin, Bauer and Paul",693 Denise Dale Suite 403,Josephchester,Serbia,77427,276-130-3914,pgreen@example.net,CAT0254545300
SUP247151522,"Martinez, Mcbride and Hamilton",267 Reese Highway,Sanchezbury,Burkina Faso,40131,399-691-9185,salasthomas@example.org,CAT5960069590
SUP322365865,Smith-Harris,81831 Jessica Bypass Suite 858,Nicolehaven,Kenya,58198,436-782-4289,amartin@example.net,CAT5703098011
SUP260909455,Ray-Fisher,9107 Farley Lodge,South William,Grenada,99203,673-416-3403,jacksonashley@example.com,CAT5960069590
SUP283355172,Evans-Irwin,4609 Jade Ways Suite 858,Rodriguezberg,Malta,69007,901-338-3211,russell92@example.org,CAT7530357816
SUP131406229,"Fisher, Smith and Miller",4522 John Gateway,Brittneyland,Serbia,87772,918-653-9647,michelle46@example.org,CAT5703098011
SUP251586871,Lopez-Valenzuela,85300 Mayo Light Apt. 103,Christopherville,Brunei Darussalam,36613,802-587-5662,jcasey@example.net,CAT5960069590
