product_id,supplier_id,product_cost,quantity
P67803963,SUP135710883,8.64,37
P69127521,SUP424904370,601.37,99
P61926913,SUP259205684,68.58,17
P23854089,SUP227734170,41.35,95
P19197874,SUP122284583,203.99,55
P71411966,SUP588129541,228.07,69
P49751701,SUP207257196,179.08,81
P32219071,SUP303200139,67.09,51
P82479977,SUP132825464,75.24,79
P36353779,SUP200579943,205.11,77
P70356262,SUP178309329,278.95,52
P21857128,SUP828561200,210.54,89
P32532492,SUP290451107,111.87,72
P13263309,SUP284017038,160.56,49
P54446208,SUP129224270,542.43,99
P29264607,SUP256273530,192.25,55
P61449978,SUP204457471,55.72,29
P61269087,SUP259593110,67.01,16
P44423881,SUP166618280,24.02,82
P44893051,SUP260909455,134.84,93
P77906440,SUP131299122,84.92,62
P92792924,SUP265977472,28.29,20
P61449978,SUP112426010,50.98,58
P92792924,SUP820077324,31.39,11
P36928752,SUP280438548,108.59,38
P32527331,SUP322365865,21.52,96
P59897514,SUP251725474,120.87,46
P90213319,SUP274260887,15.15,94
P41608676,SUP132254606,236.5,39
P13263309,SUP293268870,161.68,61
P80579957,SUP293268870,18.99,15
P56993765,SUP290451107,39.73,72
P70126000,SUP142663161,114.63,64
P14671093,SUP159126633,750.13,44
P90702913,SUP133509984,613.24,36
P87409930,SUP424904370,655.01,87
P57533522,SUP322365865,105.16,50
P98612339,SUP463149069,35.69,69
P75518282,SUP251586871,491.42,41
P44114070,SUP155467998,71.31,69
P64188193,SUP265269126,10.28,93
P89117870,SUP229604884,182.86,95
P39731603,SUP151971428,255.17,13
P64131670,SUP584400435,17.01,60
P31833418,SUP260909455,641.38,49
P39805594,SUP178309329,65.74,47
P80167548,SUP136871057,91.64,43
P69694346,SUP166618280,121.4,27
P23969997,SUP191864249,42.6,95
P43586219,SUP335813809,210.68,44
P82479977,SUP262728222,76.11,39
P18722193,SUP339148131,54.85,12
P46102483,SUP129224270,293.03,81
P38753116,SUP142524398,231.04,82
P27202681,SUP136665271,20.64,41
P47491099,SUP179344382,101.3,39
P23115354,SUP136665271,6.06,34
P77561744,SUP195184466,99.34,53
P51373352,SUP135710883,12.65,28
P33372053,SUP284008125,247.47,75
P12478111,SUP224448032,124.33,53
P74822795,SUP122284583,118.34,94
P57427090,SUP169767088,127.24,27
P13472415,SUP224698208,52.95,83
P20734556,SUP195739214,165.21,60
P28102025,SUP283070800,44.42,56
P90503710,SUP305385506,33.74,56
P65741732,SUP246730485,651.27,12
P86575409,SUP146303725,36.23,79
P10456729,SUP246839810,93.13,57
P98612339,SUP134982297,28.79,64
P98132648,SUP576154144,70.34,53
P69461901,SUP214873042,119.27,40
P45199205,SUP169767088,212.82,56
P31833418,SUP926577248,654.1,61
P79675714,SUP146303725,41.72,70
P16916593,SUP114427716,204.75,29
P90702913,SUP114427716,688.33,79
P21121307,SUP247151522,160.68,60
P13745599,SUP112426010,34.51,65
P46931127,SUP100395220,22.72,95
P64131670,SUP198078780,19.18,53
P21441091,SUP154356472,95.83,53
P63569529,SUP267200255,127.58,67
P47172400,SUP828561200,66.66,43
P61447074,SUP293268870,201.04,79
P56993765,SUP159407557,45.64,83
P78289944,SUP195184466,79.29,16
P46637021,SUP270987025,586.87,26
P99842537,SUP204457471,80.78,49
P48296294,SUP270987025,540.56,62
P14744963,SUP243659080,108.58,46
P99335403,SUP251586871,86.98,88
P36837066,SUP203374023,127.25,90
P82814085,SUP133509984,387.45,24
P36928752,SUP156300936,89.76,54
P11281448,SUP218582517,108.68,58
P64884205,SUP259593110,8.82,90
P33926222,SUP280438548,27.35,30
P45199205,SUP146303725,213,39
