product_id,supplier_id,product_cost,quantity
P46306612,SUP262728222,69.87,20
P15931711,SUP246839810,90,11
P36353779,SUP289814149,179.28,22
P52784962,SUP260762356,245.6,41
P87409930,SUP133509984,705.62,20
P46386620,SUP159432385,287.73,96
P97627448,SUP251725474,102.31,49
P46544797,SUP487469056,76.21,49
P62536520,SUP158785898,135.28,15
P29264607,SUP135411427,184.48,14
P65741732,SUP247151522,496.54,38
P29795820,SUP280438548,219.63,57
P75463073,SUP985993581,118.46,69
P54574264,SUP714146417,492.43,74
P51502320,SUP206423067,112.17,19
P60205815,SUP191864249,49.24,11
P19675735,SUP203120380,159.32,72
P79973603,SUP260054113,527.99,86
P56907959,SUP689350546,585.05,24
P21268228,SUP261309764,75.8,79
P54574264,SUP260909455,466.31,70
P41608676,SUP129224270,201.1,24
P13745599,SUP248372052,36.81,58
P12852966,SUP259205684,116,44
P66752896,SUP795028826,62.27,66
P13268949,SUP463149069,76.05,59
P54713302,SUP581298570,213.42,83
P57533522,SUP293926685,103.09,85
P98273360,SUP322365865,220.4,17
P81729199,SUP179344382,73.59,17
P70557429,SUP131798677,206.11,13
P37369153,SUP176933531,53.58,24
P37294983,SUP224448032,18.32,90
P48853418,SUP129209784,75.28,100
P37369153,SUP182315671,52,43
P30382608,SUP305385506,19.52,36
P86711759,SUP334406849,306.56,80
P17137437,SUP157544725,93.04,100
P26826691,SUP228032136,51.28,22
P77561744,SUP265269126,94.54,17
P33452207,SUP129224270,366.08,34
P20641623,SUP270987025,184.43,73
P54232862,SUP129224270,392.95,62
P36846102,SUP275620523,47.7,62
P94334727,SUP339148131,197.62,35
P96472289,SUP320400027,63.55,90
P22744492,SUP316833253,72.4,21
P96677758,SUP120465025,22.66,54
P50847950,SUP195739214,115.92,25
P79519988,SUP338902121,94.91,19
P91809454,SUP488169079,185.09,14
P38535158,SUP463149069,53.51,56
P15397235,SUP272769681,222.74,15
P67139054,SUP292038086,259.56,30
P68152097,SUP188795951,123.95,90
P48296294,SUP278639247,483.79,35
P29518596,SUP166618280,78.16,85
P13508452,SUP133509984,216.42,52
P41608676,SUP112214886,185.84,33
P49292258,SUP188795951,279.89,81
P91772057,SUP135710883,105.07,74
P41945186,SUP283070800,77.08,96
P42441115,SUP214873042,33.53,44
P13981213,SUP131299122,50.77,71
P12852966,SUP294192046,104.58,83
P67314901,SUP131406229,194.18,37
P91263430,SUP243659080,68.21,61
P45199205,SUP324870003,184.25,32
P45406149,SUP246730485,107.74,24
P15397235,SUP191864249,196.67,48
P78537269,SUP151690213,14.43,64
P77923787,SUP132254606,665.07,95
P62536520,SUP265269126,135.78,25
P37231300,SUP241830593,138.81,85
P45936394,SUP159126633,503.07,29
