product_id,supplier_id,product_cost,quantity
P11759622,SUP260054113,774.13,41
P90537720,SUP132825464,70.23,10
P98273360,SUP259205684,260.11,43
P47172400,SUP292038086,66.94,88
P62685206,SUP338902121,52.93,19
P16214409,SUP170774484,42.53,78
P29795820,SUP325358843,220.35,14
P27499095,SUP232115291,88.27,64
P70523514,SUP224448032,61.93,90
P54574264,SUP129224270,465.25,11
P48785223,SUP283070800,162.59,36
P34297538,SUP188795951,174.03,71
P59416778,SUP159407557,84.97,20
P62778148,SUP287888056,356.16,73
P55724094,SUP463149069,222.34,90
P50847950,SUP288993955,114.24,72
P22254190,SUP251725474,91.27,51
P11759622,SUP132254606,638.3,22
P71411966,SUP229604884,197.35,73
P14994695,SUP188795951,202.51,66
P63569529,SUP179344382,120.09,40
P33729106,SUP679090552,148.47,60
P56508579,SUP262728222,113.8,26
P61926913,SUP224448032,65.09,82
P21669181,SUP178309329,136.33,59
P14953289,SUP695839034,254.11,82
P97627448,SUP136665271,96.53,71
P14671093,SUP926577248,705.75,68
P95476550,SUP198078780,106.31,67
P15402604,SUP151971428,50.18,95
P41914107,SUP251586871,356.23,56
P46637021,SUP198955567,627.45,41
P70205893,SUP151690213,49.02,75
P24968444,SUP275620523,636.65,10
P98984468,SUP926577248,228.49,27
P51373352,SUP609867193,11.42,80
P92615078,SUP214873042,89.03,100
P53426774,SUP131406229,108.08,80
P56656400,SUP294192046,158.66,45
P15957424,SUP159432385,15.33,78
P19201199,SUP286527883,451.97,84
P40373788,SUP202756351,135.85,36
P91263430,SUP142663161,81.46,51
P34139616,SUP303200139,59.41,84
P31833418,SUP251586871,652.98,37
P93426015,SUP186921538,62.73,42
P47789629,SUP303200139,39.18,41
P43542510,SUP261309764,109.78,96
P81774707,SUP209531516,88.77,94
P57427090,SUP311982157,156.07,53
P15931711,SUP584400435,94.5,71
P92909603,SUP320400027,28.32,46
P47662918,SUP576154144,35.96,49
P59416778,SUP106937126,80.54,88
P41232863,SUP840378313,197.17,80
P18156345,SUP284017038,48.78,23
P62744404,SUP173547559,132.45,65
P90503710,SUP173547559,34.98,57
P77906440,SUP840587209,79.77,98
P32531909,SUP136871057,148,12
P77561744,SUP584400435,123.17,32
P50847950,SUP160985008,123.56,84
P48111266,SUP120465025,79.89,70
P81375409,SUP129209784,17.99,71
P19201199,SUP260054113,496.23,76
P33452207,SUP287888056,298.79,17
P92965614,SUP338902121,70.26,69
P34169033,SUP170774484,27.87,100
P36837066,SUP131798677,107.53,100
P75862291,SUP107618171,107.54,58
P56508579,SUP512101375,96.97,98
P23969997,SUP122284583,51.6,37
P15616370,SUP178309329,279.91,37
P91809454,SUP330356313,210.53,86
P91404938,SUP200579943,213.03,88
P46637021,SUP133509984,605.23,53
P78367641,SUP338902121,133.44,60
P48524041,SUP209531516,140.54,60
P71411966,SUP293268870,181.63,40
P32339443,SUP155078486,129.08,86
P37668288,SUP112214886,228.81,50
P91362711,SUP100395220,63.55,84
P41232863,SUP313562672,201.79,66
P29264607,SUP106937126,185.55,55
P45199205,SUP246839810,235.99,60
