product_id,supplier_id,product_cost,quantity
P16574244,SUP207257196,178.94,26
P13782125,SUP265269126,110.38,70
P36928752,SUP391286527,98.38,20
P45626009,SUP151690213,110.69,23
P91809454,SUP339148131,189.61,42
P76459907,SUP158785898,159.79,43
P63226549,SUP294192046,55.94,73
P95393997,SUP695839034,216.27,19
P64188193,SUP324870003,10.61,47
P54446208,SUP689350546,559.99,86
P50372459,SUP154356472,257.16,21
P33719577,SUP218950278,74.99,44
P99842537,SUP248372052,73.5,68
P17909696,SUP284008125,407.49,42
P85235702,SUP275620523,214.96,52
P95476550,SUP273951622,125.72,20
P46637021,SUP129224270,587.95,81
P70867799,SUP711474158,114.1,90
P56729689,SUP218950278,192.43,13
P99996011,SUP294192046,312.7,85
P43426627,SUP287888056,471.98,56
P23854089,SUP160985008,44.2,65
P13868012,SUP203120380,701.52,23
P99789809,SUP261309764,70.74,60
P59867097,SUP339148131,178.39,36
P64131670,SUP711474158,16.77,84
P20154366,SUP264619357,24.78,58
P90925914,SUP132825464,115.39,38
P51502320,SUP100395220,109.76,47
P32414713,SUP241830593,153.13,28
P62423978,SUP159432385,137.19,30
P13867118,SUP313562672,279.57,58
P71686912,SUP173547559,3.4,15
P38449378,SUP303365953,7.29,78
P20734556,SUP136871057,144.36,97
P17357211,SUP209531516,254.61,25
P23885151,SUP142524398,246.89,82
P77923787,SUP840378313,813.36,87
P36992527,SUP251725474,47.1,71
P74822795,SUP160985008,124.87,78
P86575409,SUP272769681,41.99,39
P15658644,SUP155078486,229.43,71
P31652354,SUP209531516,222.22,54
P17357211,SUP576154144,273.4,77
P34139616,SUP840587209,62.34,77
P81729199,SUP228032136,73.4,94
P86518936,SUP136871057,19.38,61
P44114070,SUP945668282,86.39,79
P62423978,SUP156300936,151.2,51
P49267362,SUP985993581,87.35,29
P85472117,SUP202756351,19.56,90
P33719577,SUP204457471,74.22,84
P70557429,SUP151690213,249.4,49
P47602968,SUP656913471,17.52,30
P42441115,SUP267200255,32.39,67
P79973603,SUP185486546,646.94,92
P42146558,SUP160985008,28.12,52
P39826195,SUP187257058,160.03,10
P78289944,SUP207257196,77.45,43
P61395791,SUP136665271,115.87,85
P58474530,SUP760221969,21.01,23
P43586219,SUP159432385,219.93,76
P91263430,SUP293926685,80.13,57
P85472117,SUP176933531,23.99,29
P36329652,SUP840378313,25.45,99
P92881101,SUP280438548,276.49,13
P17357211,SUP581298570,249.77,13
P22747490,SUP100395220,114.25,99
P70177835,SUP476888678,5.03,74
P90503710,SUP228032136,32.57,98
P95476550,SUP160985008,131.83,90
P75463073,SUP133235870,105.09,94
P40833003,SUP714146417,193.85,45
P57533522,SUP125198230,107.09,26
P22254190,SUP179344382,86.88,48
P75862291,SUP163462750,105.3,68
P80123273,SUP248372052,173.58,78
P42146558,SUP218950278,30.95,18
P93464793,SUP183296109,550.31,40
P23885151,SUP273189001,284.04,79
P56508579,SUP159432385,119.24,50
P92929889,SUP251725474,88.96,40
P41899275,SUP170232323,10.65,44
P64884205,SUP136665271,7.55,82
P23885151,SUP106937126,235.38,58
P30536604,SUP221499522,38.86,47
P44423881,SUP487469056,22.96,91
P13268949,SUP985993581,80.02,26
P20154366,SUP221499522,21.58,86
P37952537,SUP512101375,296.1,56
P45626479,SUP155467998,27.16,62
P39731603,SUP283355172,216.12,25
P77815560,SUP107618171,24.86,24
P64927743,SUP228032136,21.5,100
P89896259,SUP247151522,437.05,31
P61839389,SUP689350546,148.92,17
P17618629,SUP320400027,72.63,74
P59517237,SUP132254606,493.68,79
P74822795,SUP265269126,100.46,95
P25517310,SUP284008125,838.38,79
P53426774,SUP216261676,117.86,14
P82942731,SUP183296109,377.45,99
P41388769,SUP159407557,187.13,18
P33372053,SUP270987025,258.59,40
P99789809,SUP476888678,69.6,76
P37294983,SUP260762356,18.42,50
P50505190,SUP288993955,46.66,41
P81774707,SUP283355172,78.93,62
P47789629,SUP303365953,35.79,32
P56426674,SUP248372052,71.54,91
P17909696,SUP246730485,374.09,95
P94668096,SUP267200255,104.66,67
P41945186,SUP284017038,95.27,32
P10107240,SUP320400027,79.92,34
P32527331,SUP256273530,23.91,47
P13569922,SUP198955567,43.84,39
P14953289,SUP178275560,269.64,47
P11549408,SUP203120380,202.47,13
P66314818,SUP157544725,31.55,90
P81111129,SUP172597346,134.66,79
P29264607,SUP142663161,194.38,35
P39885819,SUP581298570,159.37,48
P61269087,SUP170232323,54.82,36
P46386620,SUP256273530,267.52,71
P13263309,SUP102667751,140.94,84
P82814085,SUP270987025,346.3,30
P92217517,SUP945668282,59.57,81
P49965352,SUP272155500,129.96,26
P27202681,SUP251725474,22,87
P47241676,SUP284017038,272.02,33
P38345562,SUP289814149,36.08,16
P10668278,SUP133235870,146.99,76
P89896259,SUP198135621,435.03,42
P94127213,SUP203120380,320.05,97
P30683957,SUP246730485,285.7,88
P15499527,SUP131406229,164.09,100
P93464793,SUP260054113,669.58,33
P22744492,SUP261123843,67.38,96
P58899446,SUP195739214,148.88,55
P99335403,SUP247151522,109.43,36
P53378526,SUP113427036,246.01,21
P35553822,SUP228032136,18.22,58
P32662825,SUP133404992,77.85,17
P18572795,SUP311982157,131.2,95
P24968444,SUP251586871,551.1,14
P96472289,SUP272769681,65.78,86
P91465745,SUP188795951,152.67,92
