ads_id,ads_startdate,ads_enddate,ads_price,supplier_id,product_id
AD593240749,05/05/22,01/05/23,1645.3,SUP938696893,P16547344
AD189749374,22/12/21,26/08/23,1478.65,SUP133509984,P98984468
AD080177783,09/02/21,31/08/23,559.52,SUP125198230,P69882716
AD724263798,12/04/21,30/05/23,2434.75,SUP151805265,P38341000
AD532549183,17/08/21,03/08/23,1264.74,SUP443090128,P80167548
AD058366939,08/04/22,19/02/23,2012.07,SUP337535546,P46102483
AD669505870,04/08/22,23/02/23,1865.64,SUP158785898,P56426674
AD637559215,01/05/21,14/02/23,2850.2,SUP251586871,P54232862
AD199612821,08/09/22,17/07/23,1165.93,SUP198135621,P18539192
AD260693970,02/01/21,05/09/23,165.53,SUP198078780,P96472289
AD525099159,21/01/21,18/01/24,2412.29,SUP272155500,P21669181
AD138709788,13/09/22,22/12/23,2500.7,SUP261123843,P67314901
AD368692482,27/11/22,04/01/24,2496.39,SUP113427036,P47241676
AD962099791,27/01/22,18/05/23,799.58,SUP938696893,P47165693
AD553943011,02/08/21,03/10/23,2201.68,SUP243659080,P45634441
AD202315705,01/02/22,03/02/23,2157.64,SUP584400435,P32531909
AD394371549,07/07/22,11/10/23,2646.16,SUP251586871,P90702913
AD267629812,16/04/22,25/03/23,2944.41,SUP136871057,P42146558
AD645127355,23/02/22,08/11/23,2465.58,SUP391286527,P37558138
AD344454722,21/09/22,18/01/24,2653.61,SUP656913471,P32532492
AD527711063,15/12/22,01/10/23,1782.35,SUP186921538,P39199819
AD237658021,05/12/22,16/02/23,2732.3,SUP209531516,P79397801
AD525946857,04/06/22,28/05/23,1063.36,SUP164456819,P74135058
AD883870554,04/02/22,11/02/23,2151.55,SUP290964838,P66752896
AD220481236,02/09/22,07/06/23,2296.71,SUP224698208,P91772057
AD822298175,11/02/21,21/12/23,448.66,SUP201639405,P81375409
AD233213339,20/11/22,08/11/23,433.45,SUP258163777,P61449978
AD580251362,14/11/22,25/10/23,479.82,SUP258163777,P87978600
AD158384561,10/11/22,26/07/23,1425.22,SUP166618280,P71694575
AD591326128,27/07/22,10/02/23,2863.76,SUP159126633,P93464793
AD793485937,18/02/22,21/06/23,1032.26,SUP141435801,P99842537
AD651496144,11/07/22,27/01/23,2256.79,SUP945668282,P39199819
AD803919236,02/09/21,02/05/23,805.26,SUP289814149,P22459254
AD157466131,04/08/21,30/12/23,448.37,SUP584400435,P10188164
AD957629138,10/03/22,14/06/23,567.36,SUP229604884,P32339443
AD631846895,07/06/21,18/05/23,2011.17,SUP182315671,P39731603
AD425957627,26/03/21,12/06/23,816.02,SUP146303725,P32662825
AD825300816,31/05/21,31/10/23,790.87,SUP201639405,P70177835
AD319651500,03/01/22,04/06/23,2647.05,SUP144153284,P96677758
AD898971849,19/12/21,01/08/23,1593.54,SUP206423067,P22254190
AD082467907,02/12/21,03/04/23,1360.35,SUP313562672,P28441437
AD650069304,03/02/21,07/01/23,2543.92,SUP272769681,P19197874
AD062466101,25/01/22,13/10/23,2310.3,SUP228032136,P11281448
AD242475004,12/02/22,07/03/24,2821.47,SUP102667751,P44696854
AD653997806,09/10/21,29/07/23,1457.54,SUP313562672,P13867118
AD991920294,25/10/21,10/09/23,2612.59,SUP195739214,P65451355
AD905018001,28/01/21,23/01/24,893.43,SUP188795951,P37952537
AD433497274,15/10/21,06/07/23,850.64,SUP840587209,P75537732
AD575582145,12/12/21,30/07/23,1013.43,SUP121271196,P62685206
AD793416849,02/10/21,05/05/23,1586.08,SUP260054113,P56907959
AD638565623,10/07/22,23/08/23,1187.15,SUP136665271,P90532134
AD827704864,13/04/22,25/11/23,179.09,SUP136665271,P44114070
AD005126331,16/03/21,03/08/23,1257.97,SUP134982297,P90925914
AD011372406,01/04/21,07/12/23,2256.06,SUP154356472,P52204796
AD276621798,13/07/21,18/09/23,1788.28,SUP576154144,P70557429
AD918272507,28/12/22,17/12/23,406.03,SUP157544725,P47789629
AD195581978,16/12/21,04/03/24,1989.06,SUP129209784,P40447819
AD931368594,21/12/21,08/01/23,1166.95,SUP121271196,P15397235
AD692742667,11/03/21,27/01/23,2727.88,SUP222889906,P13745599
AD989025799,24/10/21,09/01/23,1531.29,SUP169767088,P88568858
AD242500839,11/01/22,01/01/23,2233.34,SUP170232323,P45586681
AD826342569,06/05/21,22/01/23,246.14,SUP112426010,P15397235
AD261856776,25/02/21,12/06/23,1795.39,SUP668506718,P60205815
AD777523028,05/08/21,26/08/23,1937.36,SUP241058304,P10499890
AD211645016,14/11/22,05/02/23,1421.19,SUP288993955,P42146558
AD284724911,26/07/22,30/10/23,1735.27,SUP261309764,P46931127
AD280467385,04/11/22,30/05/23,2025.79,SUP212326627,P29264607
AD841530646,08/05/22,21/06/23,2034.02,SUP141435801,P96472289
AD295381329,20/09/21,07/02/23,1898.95,SUP292038086,P14953289
AD829598807,13/09/21,12/01/23,2301.5,SUP656913471,P41388769
AD918736954,02/03/21,22/09/23,434.64,SUP142524398,P66191469
AD299093877,02/01/22,20/04/23,1319.2,SUP689350546,P65741732
AD004447247,16/11/21,16/03/23,2717.9,SUP135710883,P92792924
AD895478489,06/05/21,25/04/23,1492.96,SUP203120380,P16916593
AD300503679,04/02/21,23/06/23,2046.7,SUP338902121,P50833741
AD683102962,03/03/21,13/03/23,2007.24,SUP136871057,P10458194
AD287760417,22/07/22,31/10/23,927.2,SUP151805265,P51502320
AD485999971,11/04/22,20/12/23,2180.4,SUP179344382,P16422655
AD826443901,28/01/22,09/04/23,922.89,SUP218950278,P63203803
AD102333824,04/02/21,09/10/23,1541.28,SUP795028826,P94334727
AD375539221,13/12/22,02/02/23,2079.92,SUP337535546,P73414988
AD542334029,21/07/22,30/09/23,2655.16,SUP391286527,P38535158
AD216762562,06/02/21,23/08/23,949.86,SUP224698208,P92929889
AD057793565,08/07/21,10/01/24,321.28,SUP203120380,P10603435
AD005403828,30/11/22,16/11/23,2165.03,SUP216261676,P58591848
