order_id,order_status,check_out_date,payment_method,payment_status,payment_date
ORD5733190791,Pending,2020.4.20,Debit Card,Pending Payment,2020.4.21
ORD0250163877,Completed,2021.6.14,Apple Pay,Payment Successful,2021.6.18
ORD8339338942,Refunding,2022.12.30,PayPal,Refund Processing,2023.1.1
ORD8904250842,Cancelled,2019.1.17,PayPal,Payment Cancelled,2019.1.20
ORD4656591555,Pending,2024.1.24,Bank Transfer,Pending Payment,2024.1.28
ORD0913621949,Shipped,2022.11.9,Bank Transfer,Payment Successful,2022.11.16
ORD9449354267,Refunded,2020.1.15,Apple Pay,Refund Successful,2020.1.21
ORD1529404797,Cancelled,2022.2.28,Credit Card,Payment Cancelled,2022.3.7
ORD7888575083,Completed,2020.12.23,Bank Transfer,Payment Successful,2020.12.27
ORD4541900358,Refunding,2021.7.9,Credit Card,Refund Processing,2021.7.9
ORD3614259593,Confirmed,2023.7.26,Apple Pay,Payment Successful,2023.8.2
ORD9429363734,Shipped,2023.7.26,PayPal,Payment Successful,2023.7.28
ORD5582613528,Refunded,2023.4.9,Credit Card,Refund Successful,2023.4.16
ORD2060415993,Problem,2022.6.4,Apple Pay,Payment Failed,2022.6.9
ORD5093740806,Shipped,2020.1.11,Bank Transfer,Payment Successful,2020.1.15
ORD5829417955,Completed,2021.2.11,Apple Pay,Payment Successful,2021.2.14
ORD0510401040,Shipped,2020.9.21,PayPal,Payment Successful,2020.9.21
ORD7314023243,Confirmed,2023.1.11,Credit Card,Payment Successful,2023.1.14
ORD7895214304,Confirmed,2022.5.11,Bank Transfer,Partial Payment,2022.5.18
ORD9048518694,Refunding,2022.9.28,Debit Card,Refund Processing,2022.10.5
ORD6746889039,Completed,2023.3.2,PayPal,Payment Successful,2023.3.3
ORD7478603209,Refunded,2021.2.27,Apple Pay,Refund Successful,2021.3.1
ORD7371871844,Completed,2022.5.2,Apple Pay,Payment Successful,2022.5.4
ORD0007640440,Problem,2021.2.27,Google Pay,Refund Failed,2021.3.5
ORD1589635275,Problem,2020.11.30,Bank Transfer,Payment Failed,2020.12.7
ORD6386039911,Pending,2023.4.3,Debit Card,Pending Payment,2023.4.6
ORD1901706290,Completed,2021.1.9,Bank Transfer,Payment Successful,2021.1.9
ORD1876273307,Confirmed,2021.1.6,Bank Transfer,Partial Payment,2021.1.7
ORD1117739141,Confirmed,2022.10.14,Google Pay,Partial Payment,2022.10.19
ORD3983760798,Pending,2019.7.30,PayPal,Pending Payment,2019.7.30
ORD4267881782,Problem,2021.5.24,PayPal,Refund Failed,2021.5.26
ORD3721953275,Cancelled,2023.7.9,Credit Card,Payment Cancelled,2023.7.9
ORD0577068426,Pending,2022.6.26,PayPal,Pending Payment,2022.7.3
ORD2891483653,Cancelled,2021.11.20,PayPal,Payment Cancelled,2021.11.26
ORD0406880027,Shipped,2022.10.30,PayPal,Payment Successful,2022.10.30
ORD7937481405,Confirmed,2020.11.20,Bank Transfer,Partial Payment,2020.11.22
ORD8094110572,Shipped,2020.7.12,Apple Pay,Payment Successful,2020.7.14
ORD9953962934,Shipped,2019.2.19,Apple Pay,Payment Successful,2019.2.24
ORD2525988438,Processing,2021.10.7,Google Pay,Partial Payment,2021.10.10
ORD0697355202,Pending,2021.5.8,Bank Transfer,Pending Payment,2021.5.9
ORD9031329275,Processing,2023.9.14,Bank Transfer,Partial Payment,2023.9.20
ORD4324442519,Refunding,2021.12.25,Debit Card,Refund Processing,2021.12.28
ORD8526119074,Cancelled,2023.12.31,Bank Transfer,Payment Cancelled,2023.12.31
ORD5621317019,Confirmed,2022.9.25,Google Pay,Partial Payment,2022.10.2
ORD8997801354,Shipped,2021.12.13,Bank Transfer,Payment Successful,2021.12.17
ORD3418629230,Refunding,2021.12.23,Credit Card,Refund Processing,2021.12.23
ORD5034906776,Problem,2021.6.14,Google Pay,Payment Failed,2021.6.15
ORD1562667162,Pending,2020.5.1,Credit Card,Pending Payment,2020.5.2
ORD9391608288,Refunding,2021.10.26,Bank Transfer,Refund Processing,2021.11.2
ORD4383782871,Refunded,2021.11.23,Google Pay,Refund Successful,2021.11.27
ORD9796136530,Pending,2019.3.2,Bank Transfer,Pending Payment,2019.3.7
ORD9370187551,Cancelled,2020.10.17,Bank Transfer,Payment Cancelled,2020.10.18
ORD5291235917,Refunded,2022.10.21,Google Pay,Refund Successful,2022.10.28
ORD9524835544,Problem,2023.3.12,Debit Card,Payment Failed,2023.3.19
ORD8121120856,Shipped,2020.4.28,Credit Card,Payment Successful,2020.5.5
ORD5501753608,Processing,2022.12.27,Credit Card,Payment Successful,2022.12.27
ORD9345064503,Cancelled,2023.5.4,Google Pay,Payment Cancelled,2023.5.8
ORD9957709966,Refunding,2023.6.6,Bank Transfer,Refund Processing,2023.6.8
ORD5805596070,Confirmed,2023.7.6,Credit Card,Payment Successful,2023.7.6
ORD1915986209,Problem,2023.9.3,Apple Pay,Refund Failed,2023.9.7
ORD3708829666,Confirmed,2020.8.13,Bank Transfer,Partial Payment,2020.8.16
ORD1804608827,Pending,2022.7.26,Apple Pay,Pending Payment,2022.7.29
ORD1864602697,Completed,2022.12.4,PayPal,Payment Successful,2022.12.11
ORD1597773512,Cancelled,2022.6.26,Credit Card,Payment Cancelled,2022.6.28
ORD1642180288,Processing,2024.1.14,Apple Pay,Payment Processing,2024.1.15
ORD8880165075,Cancelled,2022.5.11,PayPal,Payment Cancelled,2022.5.17
ORD7973831787,Confirmed,2023.5.2,PayPal,Partial Payment,2023.5.3
ORD4558182354,Cancelled,2021.6.1,Google Pay,Payment Cancelled,2021.6.5
ORD1969704788,Refunding,2024.2.14,Bank Transfer,Refund Processing,2024.2.19
ORD0646711965,Completed,2023.6.26,Google Pay,Payment Successful,2023.6.28
ORD3239830769,Problem,2020.10.9,Credit Card,Payment Failed,2020.10.11
ORD4376953224,Pending,2023.12.12,Bank Transfer,Pending Payment,2023.12.12
ORD2574390856,Processing,2021.4.19,Google Pay,Partial Payment,2021.4.19
ORD4127078622,Processing,2021.9.18,Apple Pay,Partial Payment,2021.9.21
ORD6113802680,Cancelled,2019.3.2,Debit Card,Payment Cancelled,2019.3.2
ORD0816998052,Refunded,2019.8.19,Credit Card,Refund Successful,2019.8.23
ORD3670309963,Pending,2021.10.25,Bank Transfer,Pending Payment,2021.10.27
ORD0041195661,Refunding,2020.3.16,Debit Card,Refund Processing,2020.3.23
ORD5417336379,Completed,2023.2.2,Bank Transfer,Payment Successful,2023.2.3
