product_id,product_name,product_reviewscore,product_price,category_id
P54574264,PlayStation 4 Slim,3.41,534.65,CAT5960069590
P19935373,Samsung Galaxy Tab S7,2.54,84.91,CAT5960069590
P98984468,MacBook Pro,2.53,301.16,CAT5960069590
P97568768,Nintendo Switch,2.57,77.48,CAT5960069590
P82197036,Anker PowerCore 10000,1.08,860.88,CAT5960069590
P89573496,UE Boom 3,4.91,261.06,CAT5960069590
P39294219,Apple iPad Air,1.47,476.22,CAT5960069590
P19675735,Sony 65-inch A8H OLED TV,4.03,205.91,CAT5960069590
P33452207,JBL Flip 5,1.87,389.2,CAT5960069590
P46637021,Nintendo Switch Lite,3.45,746.15,CAT5960069590
P89142641,Nest Hello Doorbell,2.8,906.44,CAT5960069590
P11759622,Google Pixel 5,2.43,817.88,CAT5960069590
P63223251,Anker PowerCore 10000,4.95,325.43,CAT5960069590
P13868012,GoPro Hero 9,3.33,795.28,CAT5960069590
P30683957,LG OLED 4K TV,3.7,366.96,CAT5960069590
P79516795,GoPro Hero 9,2.47,620.42,CAT5960069590
P10603435,Canon EOS Rebel T7,2.87,564.64,CAT5960069590
P31833418,Philips Hue Starter Kit,4.92,712.38,CAT5960069590
P69127521,Nintendo Switch,2.27,652.35,CAT5960069590
P77923787,Tile Mate,4.46,895.79,CAT5960069590
P24518204,Arlo Pro 3,4.72,689.66,CAT5960069590
P21121307,Bose QuietComfort 35 II,3.59,206.6,CAT5960069590
P48296294,Sony 65-inch A8H OLED TV,3.35,598,CAT5960069590
P87409829,Canon EOS Rebel T7,3.28,408.72,CAT5960069590
P23504091,PlayStation 5,2.58,830.76,CAT5960069590
P62778148,Sonos Beam,3.72,431.98,CAT5960069590
P77216116,JBL Flip 5,4.07,257.84,CAT5960069590
P85664224,Google Nest Thermostat,2.25,331.82,CAT5960069590
P90702913,Canon EOS Rebel T7,3.01,804.33,CAT5960069590
P43426627,Nintendo Switch Lite,2.9,612.46,CAT5960069590
P41232863,Kindle Paperwhite,2.16,259.72,CAT5960069590
P28501207,Bose Soundbar 700,2.19,48.3,CAT5960069590
P11549408,Philips Hue Starter Kit,3.61,266.6,CAT5960069590
P13867118,Eufy RoboVac 11S,4.94,346.39,CAT5960069590
P79973603,Google Pixel 5,1.4,721.77,CAT5960069590
P20641623,Google Nest Thermostat,1.15,208.61,CAT5960069590
P99335403,JBL Flip 5,4.46,115.86,CAT5960069590
P77451807,Bose Noise Cancelling Headphones 700,1.28,354.16,CAT5960069590
P13569922,RAVPower Portable Charger,1.2,48.67,CAT5960069590
P19201199,Nintendo Switch,2.44,586.4,CAT5960069590
P54446208,Dell XPS 13,1.22,753.64,CAT5960069590
P46102483,Google Nest Thermostat,2.85,348.04,CAT5960069590
P90721136,iPhone 11,3.39,171.58,CAT5960069590
P45507004,Xbox Series X,1.95,388.67,CAT5960069590
P45406149,Apple iPad Air,3.92,130.29,CAT5960069590
P94127213,Eufy RoboVac 11S,1.87,352.28,CAT5960069590
P76951423,iPhone 11,1.34,615.93,CAT5960069590
P27801967,Philips Hue Starter Kit,3.79,308.65,CAT5960069590
P59517237,UE Boom 3,4.42,680.1,CAT5960069590
P83389401,Sonos Beam,4.96,646.82,CAT5960069590
P73267250,Logitech MX Master 3,1.55,530.2,CAT5960069590
P73777011,Bose Soundbar 700,3.08,741.98,CAT5960069590
P82814085,PlayStation 5,4.54,488.82,CAT5960069590
P65741732,Fitbit Charge 4,4.15,697.04,CAT5960069590
P24968444,Ring Video Doorbell,4.83,670.76,CAT5960069590
P93171573,Microsoft Surface Laptop 4,2.5,879.57,CAT5960069590
P89896259,Logitech MX Master 3,4.46,491.86,CAT5960069590
P36846102,Bose QuietComfort 35 II,3.87,65.34,CAT5960069590
P28441437,Tile Mate,1.5,294.32,CAT5960069590
P28559641,Bose Noise Cancelling Headphones 700,4.61,70.76,CAT5960069590
P69905259,Xbox Series X,2.17,698.48,CAT5960069590
P54232862,Xbox Series X,4.72,460.57,CAT5960069590
P17909696,Bose Soundbar 700,1.26,469.14,CAT5960069590
P16916593,Anker PowerCore 10000,1.87,231.51,CAT5960069590
P33342028,UE Boom 3,4.2,504.64,CAT5960069590
P40649345,Canon EOS Rebel T7,4.38,340.61,CAT5960069590
P33372053,Sony 65-inch A8H OLED TV,2.39,293.07,CAT5960069590
P61963665,Google Nest Thermostat,1.02,276.43,CAT5960069590
P93464793,LG OLED 4K TV,2.19,765.81,CAT5960069590
P52756652,Sony Alpha A7 III,2.62,677.94,CAT5960069590
P57205333,Google Nest Thermostat,4.63,513.6,CAT5960069590
P73414988,Sonos Beam,2.21,524.15,CAT5960069590
P45936394,Tile Mate,3.9,549.65,CAT5960069590
P53133956,Google Pixel 5,4.53,202.7,CAT5960069590
P10499890,Arlo Pro 3,2.73,944.67,CAT5960069590
P13508452,Google Nest Thermostat,1.53,296.45,CAT5960069590
P61839389,Nest Hello Doorbell,3.1,164.71,CAT5960069590
P82942731,LG OLED 4K TV,1.72,537.4,CAT5960069590
P94819787,Bose Noise Cancelling Headphones 700,4.11,26.76,CAT5960069590
P40833003,Xbox Series X,3.35,269.98,CAT5960069590
P18539192,Arlo Pro 3,2.84,118.04,CAT5960069590
P84977995,PlayStation 4 Slim,2.95,290.51,CAT5960069590
P80541827,Bose Soundbar 700,4.13,117.16,CAT5960069590
P14671093,Ring Video Doorbell,3.73,885.45,CAT5960069590
P30551375,Logitech MX Master 3,1.64,816.33,CAT5960069590
P87409930,LG OLED 4K TV,2.83,921.54,CAT5960069590
P36329652,Apple Watch Series 6,3.76,30.69,CAT5960069590
P56907959,Fitbit Charge 4,1.96,690.35,CAT5960069590
P85235702,Apple Watch Series 6,2.83,301.95,CAT5960069590
P25517310,MacBook Pro,1.39,931.84,CAT5960069590
P75518282,Philips Hue Starter Kit,4.26,525.72,CAT5960069590
P41608676,Nintendo Switch,2.7,258.55,CAT5960069590
P22906576,JBL Flip 5,2.42,803.85,CAT5960069590
P37668288,PlayStation 5,2.61,303.54,CAT5960069590
P44893051,Xbox Series X,1.39,143.97,CAT5960069590
P93988828,GoPro Hero 9,1.95,243.32,CAT5960069590
P76791100,Bose QuietComfort 35 II,3.32,466.51,CAT5960069590
P41914107,MacBook Pro,1.46,379.67,CAT5960069590
P35317573,Xbox Series X,2.64,728.91,CAT5960069590
P47112734,Tile Mate,2.25,56.3,CAT5960069590
P64884205,The Twilight Saga,3.66,9.99,CAT0254545300
P20674547,The Road,2.15,83.43,CAT0254545300
P92792924,The Harry Potter Series,4.31,34.06,CAT0254545300
P34139616,Harry Potter and the Prisoner of Azkaban,2.39,80.13,CAT0254545300
P34432938,The Harry Potter Series,3.79,23.19,CAT0254545300
P63569529,Divergent,4.57,143.5,CAT0254545300
P42441115,Gone Girl,1.46,38.9,CAT0254545300
P62744404,The Twilight Saga,1.95,146.68,CAT0254545300
P17137437,The Twilight Saga Series,2.41,107.65,CAT0254545300
