product_id,product_name,product_reviewscore,product_price,category_id
P37647767,Ecovacs Deebot Ozmo T5,2.18,137.15,CAT2606118884
P53543722,Ecovacs Deebot N79,2.89,663.91,CAT2606118884
P56425307,Ecovacs Deebot Ozmo T5,4.33,315.7,CAT2606118884
P57112128,Ecovacs Deebot Ozmo T5,4.56,467.31,CAT2606118884
P65741869,Roku Streaming Stick+,3.32,453.64,CAT2606118884
P45455712,Eufy RoboVac G30 Edge,4.83,27.75,CAT2606118884
P19534979,Apple TV 4K,1.27,828.6,CAT2606118884
P14391316,Nespresso VertuoPlus,4.68,774.01,CAT2606118884
P57862681,Dyson V8 Animal,2.07,427.8,CAT2606118884
P95134772,iLife V3s Pro Robot Vacuum,1.04,974.48,CAT2606118884
P61572895,Ecovacs Deebot N79,3.12,738.93,CAT2606118884
P65649361,Hydro Flask,1.29,308.26,CAT2606118884
P81736469,Dyson V7 Allergy,2.42,545.65,CAT2606118884
P17536015,Ninja Foodi Grill,4.4,151.34,CAT2606118884
P27668073,Honeywell Home T9 Smart Thermostat,4.85,380.75,CAT2606118884
P90117709,Breville Barista Express,2.86,374.89,CAT2606118884
P25905457,Neato Botvac D4,4.42,226.34,CAT2606118884
P53351128,Shark IQ R101AE Robot Vacuum,1.8,855.01,CAT2606118884
P80139973,Shark Rocket DeluxePro,3.12,26.42,CAT2606118884
P15262214,Cuisinart 14-Cup Food Processor,1.22,100.48,CAT2606118884
P52148144,Philips Hue Starter Kit,3.86,287.22,CAT2606118884
P49475614,Shark IQ RV1001,4.58,158.23,CAT2606118884
P35865146,Instant Pot Duo Nova,2.79,578.19,CAT2606118884
P75603439,Cuisinart 14-Cup Food Processor,2.29,398.94,CAT2606118884
P58321782,Apple TV 4K,4.91,161.02,CAT2606118884
P17468878,Dyson Cyclone V10,4.85,533.58,CAT2606118884
P26661251,Instant Pot Duo Nova,2.95,49.29,CAT2606118884
P25989846,Roborock S5 Max Robot Vacuum,4.29,911.05,CAT2606118884
P62854893,Nespresso VertuoPlus,2.69,439.32,CAT2606118884
P12703557,iLife V3s,4.41,262.01,CAT2606118884
P63284649,Samsung POWERbot R7040,1.36,423.57,CAT2606118884
P99868509,Nespresso Essenza Mini,1.45,254.65,CAT2606118884
P46513961,Breville Barista Express,4.96,446.15,CAT2606118884
P16609976,Samsung POWERbot R7065,2.15,37.03,CAT2606118884
P42995646,Ecovacs Deebot Ozmo T8 AIVI,3,642.86,CAT2606118884
P28742174,Neato Botvac D5,4.96,458.77,CAT2606118884
P28791010,Neato Botvac D4,2.46,383.06,CAT2606118884
P13188130,Dyson V7 Allergy,4.72,96.3,CAT2606118884
P45895666,Neato Botvac D5,2.04,855.05,CAT2606118884
P34657587,Hydro Flask,1.5,484.45,CAT2606118884
P76814082,Eufy RoboVac 11S,3.43,30.36,CAT2606118884
P15509628,Shark IQ RV1001,4.05,70.73,CAT2606118884
P15849530,North Face Denali Jacket,4.98,363.87,CAT2606118884
P76516661,Ecovacs Deebot 500,2.96,643.85,CAT2606118884
P35461659,Amazon Fire TV Stick 4K,4.55,164.31,CAT2606118884
P66664868,Shark IQ R101AE Robot Vacuum,3.02,275.92,CAT2606118884
P75954362,iRobot Roomba 694,1.49,19.81,CAT2606118884
P24404867,Eufy RoboVac 11S MAX,2.45,409.61,CAT2606118884
P48957359,Bissell Cleanview Rewind Deluxe,2.04,781.49,CAT2606118884
P50604561,eufy by Anker BoostIQ RoboVac 11S MAX,2.15,985.86,CAT2606118884
P68833609,Logitech Harmony Elite,2.58,972.93,CAT2606118884
P67843906,Sodastream Fizzi,3.91,737.25,CAT2606118884
P11531838,Dyson V11,1.82,708.2,CAT2606118884
P27227000,Instant Pot Duo Crisp,1.18,59.87,CAT2606118884
P70408268,Roborock S5 Max Robot Vacuum,2.11,100.3,CAT2606118884
P89486383,Neato Botvac D5,4.05,250.05,CAT2606118884
P30569669,iLife V8s,4.07,987.3,CAT2606118884
P66321086,Honeywell Home T9 Smart Thermostat,4.1,893.25,CAT2606118884
P71642062,Samsung POWERbot R7040,4.4,269.55,CAT2606118884
P71751145,Cuisinart 14-Cup Food Processor,2.33,641.9,CAT2606118884
P27412557,Ecovacs Deebot Ozmo T5,4.02,617.94,CAT2606118884
P57482183,Emerson Sensi Touch Smart Thermostat,4.15,928.74,CAT2606118884
P78475675,Roborock S5 Max Robot Vacuum,3.31,774.74,CAT2606118884
P76575325,iRobot Roomba 960,3.99,702.66,CAT2606118884
P27193659,eufy by Anker BoostIQ RoboVac 11S MAX,4.81,302.04,CAT2606118884
P19757845,eufy by Anker BoostIQ RoboVac 11S MAX,2.51,261.21,CAT2606118884
P17641019,Roomba i7+,4.92,550.14,CAT2606118884
P23216478,Nespresso Essenza Mini,3.48,309.58,CAT2606118884
P13712154,Dyson Cyclone V10,1.07,987.69,CAT2606118884
P15266234,Nest Learning Thermostat,2.68,312.31,CAT2606118884
P88667662,Eufy RoboVac 30C,3.38,529.12,CAT2606118884
P69148883,Samsung POWERbot R7040,2.51,877.97,CAT2606118884
P80265928,Roomba i7+,3.9,106.97,CAT2606118884
P71496435,Hydro Flask,3.5,116.7,CAT2606118884
P37858144,Bissell Cleanview Rewind Deluxe,4.82,455.25,CAT2606118884
P24586748,Eufy RoboVac 11S MAX,2.03,169.41,CAT2606118884
P53488978,Ninja Foodi Grill,1.52,184.3,CAT2606118884
P45373691,iRobot Roomba i3,3.12,475.25,CAT2606118884
P14635489,Philips Hue Starter Kit,2.25,374.01,CAT2606118884
P33674095,Breville Barista Express,4.76,59.84,CAT2606118884
P10196959,Bissell Cleanview Swivel Pet,3.47,350.6,CAT2606118884
P93474674,iRobot Roomba 960,3.32,93.45,CAT2606118884
P76261331,Hydro Flask,3.32,90.1,CAT2606118884
P40323324,Dyson V7 Trigger,1.67,273.18,CAT2606118884
P89434405,eufy by Anker BoostIQ RoboVac 11S MAX,2.58,383.53,CAT2606118884
P44492324,Samsung POWERbot R7065,3.46,81.36,CAT2606118884
P10213970,KitchenAid Stand Mixer,4.03,322.39,CAT2606118884
P95119786,Ninja Foodi Pressure Cooker,3.8,230.63,CAT2606118884
P59731615,Shark Rocket DeluxePro,3,148.02,CAT2606118884
P62644229,Breville Barista Express,2.62,282.69,CAT2606118884
P43421765,Sodastream Fizzi,3.78,605.5,CAT2606118884
P57685469,Hydro Flask,2.46,775.01,CAT2606118884
P40518176,Dyson Cyclone V10,2.7,102.55,CAT2606118884
P59743651,Ecovacs Deebot N79,1.67,880.43,CAT2606118884
P81364470,Vitamix 5200 Blender,3.75,575.11,CAT2606118884
P49398447,Ecovacs Deebot 661,1.25,345.83,CAT2606118884
P98402449,Shark Rocket Pet Pro,1.42,379.29,CAT2606118884
P81957587,Anova Precision Cooker,3.43,38.24,CAT2606118884
P26456671,eufy by Anker BoostIQ RoboVac 11S MAX,2.84,123.69,CAT2606118884
P68115611,iRobot Roomba i3,2.32,860.16,CAT2606118884
