product_id,warehouse_id,store_date,store_quantity
P48785223,W636293326,10/12/21,69
P63431602,W679380827,01/03/20,12
P65741732,W76398001,21/02/22,59
P61395791,W118220500,02/08/22,95
P12561701,W03786231,27/11/21,23
P99996011,W02680815,08/08/21,66
P85487175,W51224154,16/12/21,15
P22744492,W437420090,15/05/20,37
P32414713,W64764251,08/09/21,41
P98612339,W21695911,21/02/22,79
P95393997,W21130533,31/12/21,88
P70867799,W58980624,04/11/21,73
P48111266,W06151311,30/03/21,75
P15931711,W01155922,19/04/21,74
P59416778,W489512048,08/06/21,49
P33729106,W37000840,23/11/21,39
P14953289,W65643334,29/06/20,28
P80123273,W489517039,27/04/20,17
P35553822,W118220500,30/01/21,37
P58223547,W51224154,17/05/20,35
P70867799,W489517039,06/03/21,82
P35317573,W52959965,18/09/20,78
P36992527,W06151311,08/10/20,61
P10188164,W49997356,22/12/20,71
P13569922,W58194013,24/05/22,45
P94668096,W65643334,16/12/20,31
P96677758,W58980624,23/04/22,3
P54446208,W489513139,21/03/22,34
P21444532,W51346236,06/10/20,25
P33729106,W42254220,12/12/21,75
P75953482,W489512048,30/07/21,80
P45936394,W06151311,13/11/20,57
P49751701,W76125784,14/03/20,99
P42146558,W52959965,04/06/20,36
P60375192,W548685918,11/12/22,7
P59897514,W39765004,30/05/20,10
P32662825,W489517039,27/09/20,20
P54232862,W10812524,15/06/20,62
P49267362,W37000840,02/01/22,17
P92792924,W64764251,02/04/22,85
P46102483,W49997356,20/08/21,78
P19201199,W00935712,16/12/21,3
P29264607,W489512048,25/07/21,52
P38341000,W434060006,07/09/20,78
P26482200,W548685918,27/08/22,96
P23885151,W10812524,28/08/22,30
P37294983,W49967790,27/09/22,35
P30382608,W03786231,07/06/21,78
P61449978,W41190210,21/12/22,17
P15402604,W43419857,27/09/21,11
P49965352,W13537308,30/08/21,1
P47165693,W551544739,11/07/20,73
P78537269,W06151311,04/10/22,59
P23504091,W41190210,25/06/22,91
P43586219,W437420090,18/11/22,67
P36933022,W575200434,19/04/21,52
P59757555,W51346236,16/04/21,44
P18572795,W49483272,05/01/20,22
P93988828,W51224154,19/08/22,44
P12648930,W489513139,28/02/21,48
P19371997,W02680815,25/03/22,41
P96472289,W118220500,07/08/20,94
P31286465,W02680815,05/06/22,73
P61449978,W438570145,24/10/22,15
P83352663,W06151311,10/07/20,46
P10188164,W545693807,09/06/22,35
P31286465,W39765004,16/12/22,8
P52957471,W438570145,01/08/21,48
P16785909,W489517039,25/12/21,65
P86402575,W49997356,04/09/21,90
P92803982,W37000840,04/08/20,1
P15957424,W43419857,11/04/20,29
P36735621,W64764251,02/01/20,62
P13782125,W438570145,01/10/20,22
P40833003,W01155922,15/10/20,23
P92146041,W49967790,17/06/22,31
P13569922,W76398001,10/07/20,11
P44213668,W21695911,28/12/21,94
P94875199,W489513139,08/04/22,37
P94875199,W03786231,06/04/22,95
P91809454,W489512048,11/08/20,94
P73777011,W36800532,07/08/21,24
P26826691,W551547553,23/02/22,26
P99842537,W01155922,31/08/22,90
P41899275,W00935712,11/05/21,40
P17909696,W369872259,03/01/21,3
P92965614,W58980624,12/05/22,20
P59852909,W76398001,06/08/22,85
P59897514,W575200434,18/02/22,14
P36329652,W49967790,05/12/20,16
P85235702,W13537308,22/07/21,91
P61839389,W21695911,27/06/20,80
P13263309,W636293326,05/11/21,99
P74135058,W41190210,12/05/20,14
P77449617,W489517039,31/03/21,90
P18722193,W434060006,17/04/20,81
P39731603,W65643334,26/11/22,63
P46102483,W68462162,27/10/21,31
P82566347,W489513139,07/04/22,17
P55495888,W21695911,01/01/21,84
