product_id,customer_id,supplier_id,order_id,order_transaction_date,order_quantity
P21444532,CUS1909475483,SUP273189001,ORD4420390312,31/08/20,29
P54574264,CUS1887686843,SUP278639247,ORD2769495107,10/09/21,18
P79973603,CUS8176569860,SUP246730485,ORD0376767373,01/01/20,87
P17909696,CUS4349830375,SUP241058304,ORD6888071028,23/05/20,13
P14994695,CUS1505369800,SUP224448032,ORD7119371811,04/02/20,92
P82406876,CUS9174492152,SUP146303725,ORD4581480131,05/04/22,74
P78537269,CUS8118856623,SUP151690213,ORD2226155832,04/04/20,56
P82942731,CUS8714658291,SUP159126633,ORD5803622239,08/06/21,18
P95573042,CUS3738194096,SUP241830593,ORD0424132571,28/06/21,68
P32531909,CUS2617954021,SUP338902121,ORD5038823034,01/09/22,23
P89694349,CUS5999378761,SUP265269126,ORD0562645562,30/10/21,27
P21857128,CUS8714658291,SUP828561200,ORD7939621469,19/07/20,61
P49267362,CUS6544743038,SUP985993581,ORD3347269125,27/06/21,3
P82942731,CUS8301598824,SUP112214886,ORD9359591862,16/10/22,47
P19729934,CUS5658663180,SUP201639405,ORD0514814168,25/02/20,33
P41945186,CUS3085649263,SUP283070800,ORD7791866913,09/01/21,77
P53438658,CUS0470481838,SUP160985008,ORD8292399597,18/05/21,96
P89611215,CUS4818183709,SUP158785898,ORD4944507040,19/04/22,50
P79973603,CUS1261406559,SUP260054113,ORD2903522818,16/11/20,2
P46637021,CUS0700654054,SUP133509984,ORD2279853967,15/03/22,51
P89896259,CUS1598776894,SUP689350546,ORD8349911089,05/04/21,74
P64927743,CUS7923296715,SUP303365953,ORD0910352685,03/06/22,59
P50505190,CUS3879310602,SUP359315989,ORD1876273307,22/11/22,28
P89896259,CUS5622992699,SUP714146417,ORD6972436747,04/10/21,13
P92803982,CUS8176569860,SUP246839810,ORD7478603209,17/06/20,31
P77711784,CUS5762388875,SUP151690213,ORD8784734140,02/04/20,57
P49751701,CUS7907991730,SUP311982157,ORD7371871844,10/01/21,67
P99371696,CUS8956012032,SUP222889906,ORD3838289040,06/10/22,3
P37161903,CUS6122795623,SUP892567108,ORD7973831787,27/10/22,13
P59867097,CUS4095969210,SUP290451107,ORD0646711965,20/02/22,44
P42515509,CUS0984359389,SUP668506718,ORD5687001222,04/11/20,40
P86402575,CUS9984735494,SUP945668282,ORD2509688742,16/12/21,64
P86711759,CUS1979942986,SUP261123843,ORD9242038992,12/09/20,20
P23854089,CUS8565490017,SUP227734170,ORD1856934265,16/03/21,49
P57427090,CUS8607938576,SUP338902121,ORD6901688390,10/09/21,92
P86575409,CUS9174492152,SUP249760074,ORD7939621469,17/10/22,3
P64131670,CUS0571636772,SUP584400435,ORD4944507040,20/08/22,73
P86402575,CUS7100938139,SUP945668282,ORD3603194246,11/09/20,58
P37294983,CUS8714658291,SUP134982297,ORD9031329275,03/07/22,10
P23885151,CUS4974751867,SUP142524398,ORD2547548454,16/11/22,39
P90925914,CUS6482670962,SUP132825464,ORD9370187551,25/06/20,67
P95476550,CUS1103627856,SUP198078780,ORD5766664698,30/12/22,46
P51373352,CUS5998183185,SUP945668282,ORD7773187672,22/08/21,8
P57427090,CUS3738194096,SUP338902121,ORD0745545185,25/04/20,63
P83414248,CUS3822688606,SUP290964838,ORD7487164435,10/04/22,99
P55206620,CUS5050117607,SUP155467998,ORD7247479107,11/10/22,100
P61449978,CUS2740649282,SUP112426010,ORD0910352685,23/07/21,14
P33729106,CUS1979942986,SUP679090552,ORD5461059312,19/06/22,20
P41914107,CUS5378986729,SUP284008125,ORD5427894157,06/11/20,34
P39121645,CUS1796896772,SUP267200255,ORD0686443040,12/06/22,67
P37952537,CUS2464432504,SUP293926685,ORD5345633387,04/03/22,18
P92682355,CUS6544743038,SUP246839810,ORD4558182354,28/01/21,32
P26594134,CUS4509481500,SUP274260887,ORD5850225594,25/08/20,83
P31286465,CUS2014708320,SUP325358843,ORD4380308954,20/06/22,67
P61963665,CUS1278280324,SUP132254606,ORD7303584175,27/04/20,39
P50372459,CUS0869560840,SUP224448032,ORD6821335843,23/09/22,88
P39731603,CUS2685664459,SUP938696893,ORD5117450881,11/06/20,76
P32531909,CUS7727144401,SUP136871057,ORD2951237895,13/01/21,98
P32339443,CUS3810548448,SUP760221969,ORD6579004634,02/06/20,75
P82479977,CUS3333948133,SUP262728222,ORD8914516649,04/02/22,41
P48111266,CUS7644746420,SUP206423067,ORD0184211341,05/09/20,18
P77923787,CUS5864849154,SUP132254606,ORD5034906776,26/07/20,47
P71686912,CUS4509481500,SUP476888678,ORD1046440924,30/09/21,45
P92682355,CUS3095772874,SUP122284583,ORD8494626564,20/12/21,11
P79973603,CUS0181978083,SUP246730485,ORD2361705305,22/10/20,91
P43542510,CUS1981571663,SUP144153284,ORD6363263731,15/12/20,24
P39805594,CUS2462286713,SUP273189001,ORD2060415993,26/01/22,61
P14671093,CUS1921391375,SUP424904370,ORD5480831621,13/03/22,11
P52784962,CUS1237854598,SUP260762356,ORD0313825711,20/06/22,78
P63569529,CUS3333948133,SUP224698208,ORD5501753608,11/03/21,13
P44116414,CUS6033136586,SUP248372052,ORD8101102389,05/04/20,51
P86673349,CUS4009023279,SUP198078780,ORD8579025934,22/09/21,49
P47988011,CUS1386317683,SUP265977472,ORD6132172024,01/12/22,7
P30841123,CUS0964175193,SUP170232323,ORD3483040676,15/07/21,79
