product_id,customer_id,supplier_id,order_id,order_transaction_date,order_quantity
P89694349,CUS0706018877,SUP146303725,ORD7456919071,14/12/22,72
P62536520,CUS5251958803,SUP141435801,ORD2958995282,25/04/20,94
P81774707,CUS8018090254,SUP284017038,ORD8101102389,10/07/22,83
P19935373,CUS0706018877,SUP133509984,ORD5213488605,17/03/20,42
P17909696,CUS0591702428,SUP246730485,ORD0168018095,27/03/22,63
P48296294,CUS8301598824,SUP183296109,ORD5480831621,29/04/22,85
P91362711,CUS5658663180,SUP100395220,ORD7552495920,23/09/20,58
P85664224,CUS6115978602,SUP129224270,ORD9860844942,19/06/22,44
P89611215,CUS1224241754,SUP121271196,ORD0830923572,02/03/22,58
P76459907,CUS6451777102,SUP241830593,ORD0745545185,18/01/20,59
P81375409,CUS8833486273,SUP129209784,ORD1601988270,30/11/21,84
P67803963,CUS0485335336,SUP135710883,ORD6282751097,25/08/20,40
P40447819,CUS8442491759,SUP201639405,ORD7807431018,19/03/20,27
P69694346,CUS6282311217,SUP229604884,ORD6220590615,20/10/21,27
P14994695,CUS4251676912,SUP463149069,ORD2279853967,07/11/21,29
P22744492,CUS5208397536,SUP391286527,ORD4665963888,27/08/22,41
P13868012,CUS7254144612,SUP203120380,ORD5213488605,18/01/20,94
P78217241,CUS3742255150,SUP303365953,ORD2319406068,22/11/20,91
P19201199,CUS9117120543,SUP840378313,ORD4464184022,31/08/21,46
P36308399,CUS0040865932,SUP203374023,ORD1369384438,21/04/20,95
P91809454,CUS8828294876,SUP339148131,ORD0432091114,01/11/20,50
P80123273,CUS3008391796,SUP207257196,ORD2425496179,26/01/20,68
P46637021,CUS6540175744,SUP275620523,ORD9101661720,24/09/22,68
P11732301,CUS1539654281,SUP226432649,ORD8385988624,17/03/20,100
P10603435,CUS0470847441,SUP112214886,ORD1438459501,07/02/22,49
P36308399,CUS9705290881,SUP203374023,ORD6177262429,05/11/22,63
P28501207,CUS0571791123,SUP114427716,ORD4309056043,01/05/22,36
P28501207,CUS4496777215,SUP114427716,ORD2510774225,05/05/21,56
P16214409,CUS8184312334,SUP203374023,ORD1087221596,23/11/21,1
P15957424,CUS5556098751,SUP226905544,ORD6402388493,13/01/21,23
P23885151,CUS3928836587,SUP262728222,ORD8880264826,12/12/22,17
P69461901,CUS8483181592,SUP264619357,ORD0158153054,30/10/21,24
P43542510,CUS7625017567,SUP144153284,ORD9536392376,06/02/20,74
P68152097,CUS7625017567,SUP188795951,ORD6864581506,21/05/20,9
P57427090,CUS2788741928,SUP338902121,ORD6010511401,08/10/21,27
P13745599,CUS6115978602,SUP112426010,ORD0851817634,11/11/20,21
P77561744,CUS0485335336,SUP265269126,ORD2574390856,12/03/22,4
P38683780,CUS1946317063,SUP132825464,ORD5766664698,03/07/22,25
P42146558,CUS1540707172,SUP218950278,ORD3235220079,21/01/22,63
P45626009,CUS6477486903,SUP151690213,ORD0447575242,17/11/20,2
P63223251,CUS5378986729,SUP185486546,ORD3418629230,20/03/22,3
P99996011,CUS1091430837,SUP290451107,ORD1601988270,09/01/20,47
P92246999,CUS8393010047,SUP260762356,ORD4324442519,03/10/20,43
P54574264,CUS7369563022,SUP714146417,ORD2951237895,24/05/21,38
P98273360,CUS1022762222,SUP322365865,ORD1915986209,11/11/21,39
P95573042,CUS3341141308,SUP258163777,ORD4595341868,29/08/22,11
P38449378,CUS8268237988,SUP136665271,ORD9370187551,30/04/21,57
P52204796,CUS6063653236,SUP325358843,ORD5085425395,26/07/20,60
P89611215,CUS5915549969,SUP320400027,ORD4127078622,18/06/21,15
