product_id,warehouse_id,store_date,store_quantity
P47109983,W58194013,18/12/22,36
P41232863,W49967790,03/08/21,25
P42515509,W37000840,09/03/22,87
P94622945,W118220500,23/10/20,55
P52957471,W36800532,18/02/21,76
P70523514,W49997356,13/03/20,55
P17909696,W437420090,16/08/21,7
P11759622,W76125784,01/07/22,21
P20641623,W43419857,23/06/20,89
P10603435,W41190210,21/08/20,24
P50372459,W76125784,19/09/22,57
P59517237,W52959965,29/05/20,91
P55495888,W51346236,01/08/20,51
P50505190,W01155922,11/02/22,38
P63226549,W21695911,18/04/21,51
P22906576,W58980624,07/03/20,92
P28501207,W39765004,28/02/21,59
P41608676,W65162770,21/11/22,18
P75537732,W437420090,04/11/20,14
P46544797,W58980624,23/01/20,90
P25517310,W52959965,09/11/20,48
P47172400,W41190210,19/05/21,43
P65741732,W51346236,03/03/22,49
P69461901,W49967790,20/10/20,40
P53378526,W548685918,08/11/21,29
P10499890,W42254220,16/05/21,23
P49439033,W21695911,21/12/21,71
P92881101,W551544728,02/06/22,4
P27499095,W21695911,08/02/20,76
P37369153,W68462162,17/12/20,60
P94334727,W65643334,18/12/20,82
P41945186,W551547553,23/11/20,26
P37231300,W51346236,06/11/22,17
P79675714,W68462162,11/05/22,60
P15931711,W51346236,11/02/21,30
P77923787,W02680815,14/05/20,33
P50833741,W489512048,13/07/20,38
P84977995,W65162770,28/12/21,34
P37161903,W636293326,25/07/20,42
P27499095,W551547553,21/08/21,50
P19675735,W51346236,07/06/22,97
P36381999,W437420090,15/02/20,88
P13867118,W551547553,27/01/20,34
P52784962,W42254220,08/12/22,85
P89314961,W489513139,03/05/22,42
P32219071,W13537308,01/09/21,75
P78537269,W65162770,19/06/22,30
P60205815,W434060006,17/03/20,8
P13569922,W575200434,29/08/21,93
P91772057,W39765004,10/07/22,98
P12648930,W58980624,20/01/20,60
P81392925,W03786231,16/05/20,55
P90503710,W76125784,25/12/21,78
P30841123,W49997356,12/08/20,4
P57427090,W21130533,03/08/22,26
P77413845,W434060006,12/10/21,50
P71411966,W02680815,19/12/20,36
P49751701,W36800532,21/07/20,81
P59867097,W489512048,17/04/21,10
P70557429,W64764251,13/11/20,51
P99371696,W636293326,31/08/22,58
P74774577,W437420069,29/08/20,65
P61447074,W575200434,10/08/20,14
P38449378,W489517039,06/09/22,69
P41232863,W551544739,19/08/20,77
P62778148,W679380827,06/02/20,79
P10458194,W36800532,27/08/21,52
P70356262,W65643334,18/02/20,92
P80579957,W548685918,24/08/22,60
P96677758,W10812350,23/10/21,84
P44696854,W64764251,14/11/21,20
P88765331,W551544739,05/02/22,71
P86402575,W01155922,18/09/22,32
P46544797,W438570145,30/09/20,44
P33822408,W551547553,30/09/21,21
P61926913,W49997356,17/06/22,56
P89314961,W37000840,27/03/22,32
P92722397,W21130533,17/04/22,50
P61395791,W02680815,30/01/20,39
P49751701,W369872259,16/07/20,36
P52756652,W49997356,14/03/22,43
P61449978,W06151311,30/10/21,94
P37161903,W52959965,07/07/20,34
P44116414,W39765004,27/05/22,99
P50641947,W434060006,01/03/21,99
P91465745,W118220500,26/09/22,5
P56907959,W37000840,30/06/20,37
P39731603,W551547553,01/03/21,47
P66752896,W58980624,01/07/20,4
P36308399,W49997356,15/08/22,98
P98612339,W434060006,05/12/22,18
P38683780,W42254220,09/05/21,38
P91465745,W369872259,15/06/22,35
P31833418,W437420069,04/11/21,93
P62744404,W10812350,19/12/21,87
P47988011,W58194013,16/04/22,74
P82197036,W43419857,01/07/20,82
P17981239,W551544739,09/04/21,66
P26262802,W551547553,22/01/22,55
P92722397,W64764251,17/09/21,98
