product_id,warehouse_id,store_date,store_quantity
P62778148,W51224154,23/12/20,16
P34297538,W548685918,21/11/22,21
P54446208,W437420090,14/09/20,31
P23115354,W551544739,05/06/22,18
P49292258,W49967790,27/03/22,34
P76951423,W51224154,29/03/22,18
P96472289,W36800532,02/07/22,72
P34297538,W575200434,10/07/22,29
P34927127,W68462162,08/03/22,37
P52756652,W524103025,09/03/20,63
P39826195,W00935712,21/04/21,41
P30536604,W76125784,07/06/21,99
P19197874,W10812350,07/11/20,34
P93464793,W489517039,01/01/20,63
P36992527,W489517039,11/05/22,91
P85487175,W49483272,12/05/21,4
P28441437,W551544728,11/12/22,94
P37231300,W49967790,08/12/22,76
P58976509,W65162770,23/04/21,1
P49292258,W551544739,09/03/20,97
P55495888,W49483272,01/10/22,90
P70205893,W49997356,28/01/21,32
P82514309,W65643334,08/08/20,12
P98984468,W65643334,16/09/22,75
P29413835,W58194013,05/12/21,93
P54232862,W575200434,29/10/20,90
P58976509,W575200434,21/05/20,12
P27202681,W10812350,11/03/20,92
P69905259,W636293326,03/12/21,95
P82406876,W37000840,06/02/21,11
P67803963,W58980624,04/09/22,15
P15499527,W52959965,10/03/21,28
P46931127,W51224154,03/12/21,62
P18279428,W42254220,13/06/20,59
P55495888,W49997356,31/12/20,23
P69461901,W551544739,07/11/22,69
P57533522,W575200434,16/11/20,27
P89555698,W489512048,17/03/22,55
P15931711,W49967790,21/02/22,85
P20674547,W02680815,01/10/22,20
P50372459,W545693807,14/05/22,82
P94622945,W64764251,07/04/22,35
P29264607,W21695911,18/07/22,86
P46386620,W76398001,11/12/20,27
P46544797,W49997356,13/06/21,79
P44114070,W58980624,13/08/22,67
P27501243,W41190210,04/02/20,5
P33342028,W10812350,16/07/20,18
P30536604,W679380827,15/09/22,56
P71694575,W434060006,23/02/20,30
P81392925,W65643334,02/02/22,74
P49267362,W58980624,13/03/20,37
P77413845,W76125784,09/11/22,67
P13981213,W118220500,16/09/22,40
P94127213,W551544728,23/04/20,75
P58223547,W49997356,11/11/21,77
P62536520,W437420090,01/02/21,83
P37161903,W39765004,13/08/22,36
P96472289,W679380827,20/01/20,84
P47109983,W21695911,09/04/21,59
P78217241,W489513139,30/09/22,95
P70177835,W438570145,06/05/22,17
P46637021,W03786231,25/09/20,68
P59867097,W65162770,14/04/22,87
P70557429,W03786231,06/05/21,80
P70523514,W551544739,08/11/22,14
P98612339,W37000709,31/10/22,11
P89611215,W41190210,22/12/22,54
P77815560,W434060006,09/02/21,5
P33372053,W76398001,03/06/20,43
P34139616,W00935712,14/09/20,12
P58899446,W434060006,24/01/21,70
P91465745,W36800532,15/08/20,35
P56426674,W65643334,02/04/22,15
P64927743,W13537308,20/05/21,78
P21857128,W575200434,17/02/20,17
P71686912,W438570145,29/10/21,71
P30683957,W64764251,07/03/22,65
P75518282,W52959965,14/07/20,18
P31652354,W51224154,11/11/21,67
P29518596,W21130533,23/01/21,9
P37294983,W37000709,07/09/20,11
P97429604,W06151311,13/10/22,20
P75862291,W10812350,04/12/20,49
P48785223,W76398001,25/07/21,23
P95393997,W575200434,17/01/20,47
P15499527,W37000840,06/07/21,100
P46544797,W64764251,26/08/20,26
P23504091,W66129028,27/11/20,99
P58899446,W548685918,24/05/21,36
P26594134,W438570145,11/12/22,11
P48853418,W489512048,11/12/21,89
P10975669,W13537308,23/09/20,44
P10593981,W10812524,19/07/20,77
P44114070,W49967790,02/10/22,82
P52756652,W03786231,12/10/21,72
P54232862,W489512048,28/06/21,51
P61839389,W49967790,08/09/21,80
P10593981,W551544728,17/01/20,79
P18539192,W438570145,11/04/20,95
P54252623,W58194013,11/03/20,21
P91404938,W10812350,20/03/20,95
P70205893,W42254220,04/10/21,52
P65451355,W39765004,16/06/21,37
P53696947,W679380827,09/04/22,71
P10107240,W36800532,04/11/21,31
P55206620,W118220500,17/11/22,31
P69905259,W13537308,23/02/21,50
P13508452,W49967790,02/06/20,50
P15402604,W118220500,30/03/20,16
P95476550,W437420069,10/01/21,11
P13981213,W49967790,24/09/21,9
P86711759,W434060006,28/08/21,61
P54232862,W551544728,12/01/20,73
P45626009,W21695911,06/05/21,1
P90375591,W58194013,17/08/22,25
P26482200,W369872259,28/06/21,50
P36381999,W13537308,31/05/20,27
P29795820,W679380827,09/01/20,64
P22906576,W118220500,17/12/20,61
P57205333,W545693807,06/12/21,28
P12478111,W575200434,18/01/21,38
P84977995,W548685918,13/10/20,34
P49292258,W118220500,29/02/20,28
P81111129,W49967790,08/01/21,75
P76951423,W58980624,06/01/22,5
P17357211,W68462162,10/02/21,57
P47112734,W41190210,20/10/21,88
P90537720,W489512048,30/08/21,3
P80579957,W438570145,03/07/22,5
P90375591,W49483272,11/05/20,29
P55495888,W51224154,11/06/20,72
P71411966,W65162770,13/07/22,3
P32219071,W49967790,28/04/21,46
P20674547,W10812350,17/08/20,62
P90375591,W524103025,18/11/20,14
P94819787,W489517039,31/07/20,79
P99335403,W37000709,04/11/20,79
P18539192,W636293326,11/04/21,67
P50847950,W51224154,06/05/21,82
P70205893,W551544739,24/05/20,77
P15499527,W437420069,12/09/20,2
P62423978,W551544728,07/04/20,46
P31796113,W39765004,09/06/20,58
P46386620,W37000709,04/11/21,70
P67143596,W52959965,17/05/20,16
P10456729,W64764251,11/06/22,1
P75528934,W36800532,18/02/22,35
P45626009,W636293326,22/11/22,32
P21121307,W21695911,25/08/20,29
P36846102,W551547553,27/07/22,55
P75304280,W636293326,27/04/20,19
P13745599,W118220500,17/02/22,58
P47241676,W489517039,10/02/22,12
P48524041,W02680815,10/08/21,82
P62744404,W42254220,29/10/20,68
P25733544,W51224154,14/01/20,21
P92929889,W02680815,09/08/21,31
P92217517,W03786231,08/03/21,61
P59757555,W49483272,16/02/21,78
P28102025,W10812524,25/02/21,72
P37231300,W65162770,23/08/20,42
P11759622,W06151311,18/02/20,46
P82406876,W42254220,03/08/20,31
P45507004,W58194013,10/09/20,51
P77451807,W43419857,23/05/20,56
P23115354,W65162770,01/04/21,42
P82942731,W21130533,25/04/22,19
P31652354,W49997356,30/09/21,47
P41899275,W49483272,28/12/22,81
P15931711,W76125784,29/09/22,17
P33342028,W551547553,19/11/22,34
P27499095,W636293326,29/07/22,58
P15957424,W575200434,19/09/21,99
P67314901,W65643334,02/08/21,91
P87409930,W76125784,29/09/22,49
P62423978,W10812350,22/11/21,18
P92881101,W489513139,10/03/20,67
P74135058,W43419857,20/03/22,58
P14671093,W58980624,02/10/20,88
P67139054,W118220500,15/03/20,66
P45507004,W49967790,22/10/20,45
P14375300,W49997356,08/02/21,67
P19197874,W37000840,10/01/22,16
P53378526,W369872259,17/12/22,94
P86518936,W49483272,23/03/20,21
P33729106,W49483272,25/10/20,73
P36846102,W524103025,01/08/21,42
P61447074,W437420090,26/03/22,90
P37668288,W489512048,15/06/21,81
P50833741,W76125784,12/09/20,46
P16214409,W64764251,24/08/21,35
P94819787,W49483272,24/10/22,36
P30241270,W65162770,18/08/22,65
P50847950,W489512048,04/08/20,74
P69461901,W51346236,03/02/22,87
P44696854,W10812350,25/12/21,26
P32339443,W434060006,01/07/21,80
P90213319,W10812524,18/10/21,94
P61141902,W369872259,05/09/20,21
