ads_id,ads_startdate,ads_enddate,ads_price,supplier_id,product_id
AD557360027,16/10/21,29/01/24,2570.01,SUP293926685,P53649623
AD640360892,04/09/21,12/07/23,2003.22,SUP178309329,P61926913
AD780187581,05/01/22,31/12/23,521.75,SUP131406229,P99996011
AD565423742,13/11/22,11/06/23,1853.74,SUP125198230,P15957424
AD286237175,10/03/21,01/04/23,1439.77,SUP218582517,P67803963
AD794668022,21/12/22,08/05/23,296.34,SUP259205684,P45634441
AD852489277,09/03/21,31/01/24,977.89,SUP178309329,P85381374
AD643687498,19/12/22,18/01/23,2611.38,SUP129224270,P56907959
AD310716315,14/12/21,04/09/23,2285.32,SUP229604884,P18156345
AD677076170,26/05/21,27/11/23,1955.88,SUP795028826,P81554792
AD709138170,09/07/21,30/04/23,927.07,SUP985993581,P83414248
AD387372838,11/05/22,18/10/23,2618.82,SUP218582517,P90375591
AD670072732,14/08/21,15/01/23,2977.44,SUP179344382,P66314818
AD151745669,01/03/22,29/03/23,1243.12,SUP222889906,P80167548
AD521998941,04/03/22,12/08/23,1099.04,SUP261309764,P33822408
AD974683388,09/05/22,05/11/23,42.6,SUP248372052,P32531909
AD973277181,20/12/21,10/08/23,2475.99,SUP243659080,P12852966
AD711506619,08/09/22,03/11/23,2777.5,SUP795028826,P67314901
AD186814366,18/12/21,19/07/23,391.19,SUP154356472,P91263430
AD005036600,09/03/21,09/09/23,1408.55,SUP242348575,P59757555
AD983682832,16/06/21,31/05/23,657.93,SUP133509984,P82814085
AD215709703,22/05/22,26/11/23,2448.15,SUP262728222,P56508579
AD071292012,18/03/21,12/12/23,2503.86,SUP112426010,P25448652
AD454385758,21/08/22,30/03/23,1150,SUP278639247,P11549408
AD486350176,04/12/22,08/12/23,2736.64,SUP938696893,P41945186
AD238279876,17/10/22,19/10/23,2881.47,SUP112426010,P56729689
AD999437291,22/12/21,06/12/23,2164.09,SUP265269126,P74135058
AD246643887,11/11/22,11/06/23,1464.09,SUP261309764,P94875199
AD825373109,03/01/21,03/03/24,2763.1,SUP264619357,P63569529
AD877141501,23/07/22,27/10/23,1431.3,SUP283070800,P10593981
AD745737811,03/12/21,22/02/24,1943.52,SUP178275560,P29814122
AD972224388,22/02/22,12/04/23,615.09,SUP129209784,P34129019
AD567078840,06/03/21,02/07/23,1067.03,SUP423480280,P50372459
AD320122515,30/08/22,19/04/23,455.26,SUP203374023,P32339443
AD602011404,04/05/21,07/02/24,1393.47,SUP926577248,P10499890
AD252221417,12/12/22,14/05/23,2284.42,SUP232333075,P49439033
AD259325039,19/03/21,31/08/23,2262.71,SUP284017038,P31652354
AD461172223,16/05/22,24/10/23,1717.5,SUP391286527,P32532492
AD202979385,27/11/21,17/08/23,1959.57,SUP156300936,P23885151
AD798122372,31/01/22,29/02/24,1823.11,SUP209531516,P30241270
AD425369200,11/04/21,29/06/23,1952.9,SUP195184466,P44116414
AD393974178,16/08/22,14/02/23,2972.29,SUP131299122,P22747490
AD164417168,03/08/22,07/09/23,2542.76,SUP334406849,P31286465
AD464811416,05/10/22,22/11/23,231.61,SUP265269126,P14375300
AD372643590,03/10/21,20/01/23,2068.56,SUP130095879,P82479977
AD003926612,07/07/22,19/10/23,1331.22,SUP151690213,P40373788
AD869012698,03/01/21,10/06/23,1597.72,SUP273951622,P74742032
AD087582775,05/05/21,02/04/23,2038.39,SUP112426010,P74822795
AD188171273,28/04/21,14/01/24,1264.56,SUP270987025,P31833418
