ads_id,ads_startdate,ads_enddate,ads_price,supplier_id,product_id
AD736270146,25/06/21,25/05/23,1362.49,SUP339148131,P83414248
AD220755115,20/10/21,27/11/23,2487.29,SUP198955567,P13867118
AD886851590,05/11/22,12/12/23,2289.32,SUP711474158,P80599323
AD980777061,07/06/22,05/03/24,949.72,SUP156300936,P98273360
AD456639066,29/01/22,23/10/23,2218.24,SUP293926685,P46386620
AD923513656,23/06/22,16/10/23,2032.04,SUP297518437,P69694346
AD501552590,14/12/22,09/02/23,2718.45,SUP113427036,P37369153
AD554198880,13/09/21,16/03/23,2701.78,SUP284017038,P91404938
AD289772619,17/05/21,28/07/23,958.83,SUP576154144,P36308399
AD418232258,15/02/22,23/09/23,215.8,SUP141435801,P58899446
AD250610362,10/02/22,18/04/23,218.22,SUP246730485,P40833003
AD250727265,01/12/21,14/08/23,2088.76,SUP265269126,P34701889
AD329937806,22/06/22,30/09/23,778.44,SUP247151522,P41232863
AD883520886,16/04/22,05/02/23,231.79,SUP338902121,P26594134
AD328494951,07/09/21,26/06/23,130.13,SUP287888056,P77923787
AD927845460,02/07/22,24/02/24,1239.47,SUP272155500,P57533522
AD445818607,04/04/22,25/04/23,258.28,SUP283355172,P17357211
AD477719210,10/08/21,07/02/24,485.11,SUP892567108,P66719343
AD241257098,29/03/22,23/02/23,2124.57,SUP195184466,P86673349
AD825668495,28/02/22,10/01/23,2093.91,SUP158785898,P79519988
AD141163271,22/07/21,15/08/23,486.06,SUP695839034,P31886096
AD800716223,10/06/21,13/10/23,1708.7,SUP159432385,P17981239
AD627243465,13/07/22,25/11/23,1445.46,SUP689350546,P39294219
AD536270722,25/02/21,01/01/24,2963.82,SUP656913471,P21669181
AD863492369,02/05/22,01/05/23,2617.79,SUP714146417,P85664224
AD995373602,26/12/21,03/09/23,754.05,SUP679090552,P48287238
AD190385140,06/12/21,21/12/23,1700.16,SUP218950278,P20734556
AD995803261,19/01/21,27/12/23,1105.13,SUP102667751,P77413845
AD833978908,26/05/21,04/03/23,1177.26,SUP102667751,P39826195
AD302841979,21/08/21,09/09/23,1303.93,SUP609867193,P30536604
AD095759576,23/06/22,02/05/23,456.36,SUP423480280,P39805594
AD291320520,11/03/21,14/04/23,662.17,SUP286527883,P52756652
AD129486549,19/03/21,16/01/23,20.21,SUP166618280,P14953289
AD401260990,08/11/22,04/04/23,213.23,SUP113427036,P18279428
AD228850697,28/06/22,08/01/23,777.16,SUP191089540,P55724094
AD547779325,30/07/22,16/02/23,2129.15,SUP182315671,P77413845
AD603671998,30/08/21,23/10/23,2152.76,SUP228032136,P96677758
AD680111171,10/04/22,08/01/23,138.44,SUP311982157,P51233258
AD797674159,21/04/22,06/12/23,677.36,SUP241058304,P11759622
AD667489108,03/03/22,15/10/23,1439.27,SUP316833253,P45634441
AD071715181,06/05/22,14/10/23,1597.24,SUP227734170,P34701889
AD146994633,21/10/22,30/03/23,747.82,SUP337535546,P63223251
AD850722420,28/01/22,26/02/24,1419.06,SUP246730485,P77923787
AD598123826,19/11/21,12/02/23,2999.38,SUP170232323,P92792924
AD717552415,15/08/22,05/01/24,68.92,SUP892567108,P26262802
AD629145297,06/08/21,19/08/23,2821.94,SUP840378313,P45936394
AD083164915,03/11/21,13/12/23,2288.61,SUP316833253,P98733463
AD340130812,12/08/22,14/12/23,1981.06,SUP270987025,P82814085
AD628784975,20/11/22,12/03/23,1524.12,SUP133404992,P62685206
